Student,LPIPS,SSIM
110820009.png,0.0,1.0
112590020.png,0.3749927282333374,0.46440396601451434
112590036.png,0.38371381163597107,0.5553977984562911
112590060.png,0.38525640964508057,0.5597657445338758
112590031.png,0.3881845474243164,0.45326663464912115
112590004.png,0.40224137902259827,0.5495674264894232
112590035.png,0.40352001786231995,0.5006753451096335
112590044.png,0.4064101576805115,0.5070224190659914
112590026.png,0.4065266251564026,0.49864581769239386
112590041.png,0.4123581349849701,0.5097613798657026
112590007.png,0.41532695293426514,0.520863414207654
109810011.png,0.41822755336761475,0.47542253314946653
112590053.png,0.4239271581172943,0.4712145828413814
110590456.png,0.42426756024360657,0.4974399849611595
112590021.png,0.4244886636734009,0.430209958565314
111820017.jpg,0.4275633692741394,0.49604176134990685
112590038.png,0.429815411567688,0.5282184979935363
112590023.png,0.4307619035243988,0.538191882153747
111332012.png,0.43438053131103516,0.4965468820398782
112590057.png,0.4359115958213806,0.44436131323033806
112590017.png,0.43874478340148926,0.4965685023720657
112590052.png,0.44394850730895996,0.4412009127543606
112590051.png,0.4441438913345337,0.40314931945146665
112590059.png,0.44786787033081055,0.5678316001691923
112590024.png,0.4492318034172058,0.431060379073468
113378043.png,0.4559807777404785,0.5320616567938822
112590033.png,0.46178534626960754,0.5308256670404095
112590009.png,0.46228456497192383,0.527745557814296
112590005.png,0.46295365691185,0.4840608283574872
112590029.png,0.4757500886917114,0.5661867827094625
112590003.png,0.4758673906326294,0.5807630750176465
112590030.png,0.47667935490608215,0.5076595393864709
112590022.png,0.4785004258155823,0.46654715634122806
112590056.png,0.4787690341472626,0.5787502821624808
112590013.png,0.4927403926849365,0.5546396442772923
112590014.png,0.5089544057846069,0.5182324062947612
112590018.png,0.5158630609512329,0.3473766931143017
112ab0053.png,0.5208072066307068,0.5028100866731158
112590012.png,0.534641683101654,0.561651573631612
110590041.png,0.6071258187294006,0.4716565818880735
